db_type,release,organism,source,missing_meta,missing_coord
vertebrates,91,rattus_norvegicus,tgz-only,1,1
vertebrates,91,rhinopithecus_bieti,tgz-only,1,1
vertebrates,91,rhinopithecus_roxellana,tgz-only,1,1
vertebrates,91,saccharomyces_cerevisiae,tgz-only,1,1
vertebrates,91,saimiri_boliviensis_boliviensis,tgz-only,1,1
vertebrates,91,sarcophilus_harrisii,tgz-only,1,1
vertebrates,91,sorex_araneus,tgz-only,1,1
vertebrates,91,sus_scrofa,tgz-only,1,1
vertebrates,91,taeniopygia_guttata,tgz-only,1,1
vertebrates,91,takifugu_rubripes,tgz-only,1,1
vertebrates,91,tetraodon_nigroviridis,tgz-only,1,1
vertebrates,91,tupaia_belangeri,tgz-only,1,1
vertebrates,91,tursiops_truncatus,tgz-only,1,1
vertebrates,91,vicugna_pacos,tgz-only,1,1
vertebrates,91,xenopus_tropicalis,tgz-only,1,1
vertebrates,91,xiphophorus_maculatus,tgz-only,1,1
vertebrates,99,acanthochromis_polyacanthus,tgz-only,1,1
vertebrates,99,accipiter_nisus,tgz-only,1,1
vertebrates,99,ailuropoda_melanoleuca,tgz-only,1,1
vertebrates,99,amazona_collaria,tgz-only,1,1
vertebrates,99,amphilophus_citrinellus,tgz-only,1,1
vertebrates,99,amphiprion_ocellaris,tgz-only,1,1
vertebrates,99,amphiprion_percula,tgz-only,1,1
vertebrates,99,anabas_testudineus,tgz-only,1,1
vertebrates,99,anas_platyrhynchos_platyrhynchos,tgz-only,1,1
vertebrates,99,anolis_carolinensis,tgz-only,1,1
vertebrates,99,anser_brachyrhynchus,tgz-only,1,1
vertebrates,99,anser_cygnoides,tgz-only,1,1
vertebrates,99,aotus_nancymaae,tgz-only,1,1
vertebrates,99,apteryx_haastii,tgz-only,1,1
vertebrates,99,apteryx_owenii,tgz-only,1,1
vertebrates,99,apteryx_rowi,tgz-only,1,1
vertebrates,99,aquila_chrysaetos_chrysaetos,tgz-only,1,1
vertebrates,99,astatotilapia_calliptera,tgz-only,1,1
vertebrates,99,astyanax_mexicanus,tgz-only,1,1
vertebrates,99,astyanax_mexicanus_pachon,tgz-only,1,1
vertebrates,99,athene_cunicularia,tgz-only,1,1
vertebrates,99,betta_splendens,tgz-only,1,1
vertebrates,99,bison_bison_bison,tgz-only,1,1
vertebrates,99,bos_grunniens,tgz-only,1,1
vertebrates,99,bos_indicus_hybrid,tgz-only,1,1
vertebrates,99,bos_mutus,tgz-only,1,1
vertebrates,99,bos_taurus,tgz-only,1,1
vertebrates,99,bos_taurus_hybrid,tgz-only,1,1
vertebrates,99,caenorhabditis_elegans,tgz-only,1,1
vertebrates,99,calidris_pugnax,tgz-only,1,1
vertebrates,99,calidris_pygmaea,tgz-only,1,1
vertebrates,99,callithrix_jacchus,tgz-only,1,1
vertebrates,99,callorhinchus_milii,tgz-only,1,1
vertebrates,99,camelus_dromedarius,tgz-only,1,1
vertebrates,99,canis_familiaris,tgz-only,1,1
vertebrates,99,canis_lupus_dingo,tgz-only,1,1
vertebrates,99,canis_lupus_familiarisbasenji,tgz-only,1,1
vertebrates,99,canis_lupus_familiarisgreatdane,tgz-only,1,1
vertebrates,99,capra_hircus,tgz-only,1,1
vertebrates,99,carlito_syrichta,tgz-only,1,1
vertebrates,99,castor_canadensis,tgz-only,1,1
vertebrates,99,catagonus_wagneri,tgz-only,1,1
vertebrates,99,cavia_aperea,tgz-only,1,1
vertebrates,99,cavia_porcellus,tgz-only,1,1
vertebrates,99,cebus_capucinus,tgz-only,1,1
vertebrates,99,cercocebus_atys,tgz-only,1,1
vertebrates,99,chelonoidis_abingdonii,tgz-only,1,1
vertebrates,99,chinchilla_lanigera,tgz-only,1,1
vertebrates,99,chlorocebus_sabaeus,tgz-only,1,1
vertebrates,99,choloepus_hoffmanni,tgz-only,1,1
vertebrates,99,chrysemys_picta_bellii,tgz-only,1,1
vertebrates,99,chrysolophus_pictus,tgz-only,1,1
vertebrates,99,ciona_intestinalis,tgz-only,1,1
vertebrates,99,ciona_savignyi,tgz-only,1,1
vertebrates,99,clupea_harengus,tgz-only,1,1
vertebrates,99,colobus_angolensis_palliatus,tgz-only,1,1
vertebrates,99,cottoperca_gobio,tgz-only,1,1
vertebrates,99,coturnix_japonica,tgz-only,1,1
vertebrates,99,cricetulus_griseus_chok1gshd,tgz-only,1,1
vertebrates,99,cricetulus_griseus_crigri,tgz-only,1,1
vertebrates,99,cricetulus_griseus_picr,tgz-only,1,1
vertebrates,99,crocodylus_porosus,tgz-only,1,1
vertebrates,99,cyanistes_caeruleus,tgz-only,1,1
vertebrates,99,cynoglossus_semilaevis,tgz-only,1,1
vertebrates,99,cyprinodon_variegatus,tgz-only,1,1
vertebrates,99,cyprinus_carpio_germanmirror,tgz-only,1,1
vertebrates,99,cyprinus_carpio_hebaored,tgz-only,1,1
vertebrates,99,cyprinus_carpio_huanghe,tgz-only,1,1
vertebrates,99,danio_rerio,tgz-only,1,1
vertebrates,99,dasypus_novemcinctus,tgz-only,1,1
vertebrates,99,denticeps_clupeoides,tgz-only,1,1
vertebrates,99,dipodomys_ordii,tgz-only,1,1
vertebrates,99,dromaius_novaehollandiae,tgz-only,1,1
vertebrates,99,drosophila_melanogaster,tgz-only,1,1
vertebrates,99,echeneis_naucrates,tgz-only,1,1
vertebrates,99,echinops_telfairi,tgz-only,1,1
vertebrates,99,electrophorus_electricus,tgz-only,1,1
vertebrates,99,eptatretus_burgeri,tgz-only,1,1
vertebrates,99,equus_asinus_asinus,tgz-only,1,1
vertebrates,99,equus_caballus,tgz-only,1,1
vertebrates,99,erinaceus_europaeus,tgz-only,1,1
vertebrates,99,erpetoichthys_calabaricus,tgz-only,1,1
vertebrates,99,erythrura_gouldiae,tgz-only,1,1
vertebrates,99,esox_lucius,tgz-only,1,1
vertebrates,99,felis_catus,tgz-only,1,1
vertebrates,99,ficedula_albicollis,tgz-only,1,1
vertebrates,99,fukomys_damarensis,tgz-only,1,1
vertebrates,99,fundulus_heteroclitus,tgz-only,1,1
vertebrates,99,gadus_morhua,tgz-only,1,1
vertebrates,99,gallus_gallus,tgz-only,1,1
vertebrates,99,gambusia_affinis,tgz-only,1,1
vertebrates,99,gasterosteus_aculeatus,tgz-only,1,1
vertebrates,99,gopherus_agassizii,tgz-only,1,1
vertebrates,99,gorilla_gorilla,tgz-only,1,1
vertebrates,99,gouania_willdenowi,tgz-only,1,1
vertebrates,99,haplochromis_burtoni,tgz-only,1,1
vertebrates,99,heterocephalus_glaber_female,tgz-only,1,1
vertebrates,99,heterocephalus_glaber_male,tgz-only,1,1
vertebrates,99,hippocampus_comes,tgz-only,1,1
vertebrates,99,homo_sapiens,tgz-only,1,1
vertebrates,99,hucho_hucho,tgz-only,1,1
vertebrates,99,ictalurus_punctatus,tgz-only,1,1
vertebrates,99,ictidomys_tridecemlineatus,tgz-only,1,1
vertebrates,99,jaculus_jaculus,tgz-only,1,1
